Name               Latitude               Longitude               Address
Budalagi Samia resort               0.27001               34.09039               739R+QM2, Kenya
Budalagi flooding                0.173               34.05001               52CX+8J, Mubwokhola, Kenya
Butali               0.49495               34.83404               A1, Kenya
Chelsir maize tea               -0.28662               35.427               PC7H+C56, Chepsir, Kenya
Demo farm               0.01355               34.66716               2M78+9MC, Mahanga, Kenya
Fort Ternan sugarcane               -0.21607               35.31387               C35, Kenya
Gulley               -0.33186               34.97736               Unnamed Road, Kenya
Intergrated Nature+Farm Vihiga               0.00492               34.64088               Unnamed Road, Kenya
Jimo aggregated farm               -0.36964               35.00388               J2H3+V4C, Sondu, Kenya
Kapsoit               -0.33045               35.20437               1436 Kericho Road, Kericho, Kenya
Kapsorek               -0.2877               34.98459               PX6M+9RP, Kenya
Katito               -0.27038               34.9721               PXHC+QQ9, Awach, Kenya
Land preparation                -0.17383               34.92534               RWGG+738, Ahero, Kenya
Magunga               -0.27209               34.97319               PXHF+697, Awach, Kenya
Manjengo               0.04786               34.72208               223 Vihiga - Maragoli Rd, Majengo, Kenya
Nyabenda longterm Field experiment                0.16033               34.45084               Unnamed Road, Kenya
Nyando river               -0.17252               34.91953               RWG9+XQJ, Ahero, Kenya
Nyando river                -0.17236               34.9216               RWHC+8G4, Ahero, Kenya
Nzoia flood plain               0.38397               34.14546               Kisumu - Busia Rd, Kenya
Nzoia river               0.12435               34.05318               43F3+M98, Mudembi, Kenya
Seedbank               -0.28842               35.05516               Unnamed Road, Kenya
Sheri KSM Kericho highway                -0.17433               34.91672               RWG8+95Q, Ahero, Kenya
Sheri irrigation                -0.17433               34.91569               RWG8+95Q, Ahero, Kenya
Sheri market                -0.17252               34.91953               RWG9+XQJ, Ahero, Kenya
Sigowet               -0.39731               35.04936               J22X+HV, Kaplelwo, Kenya
Sondu               -0.38575               35.01084               J275+JXM, Sondu, Kenya
Sugar belt               -0.19009               35.26618               C35, Kenya
Tea avocado intercrop               -0.33045               35.20437               1436 Kericho Road, Kericho, Kenya
