SN,Date,AEZ1,Year,State,LGA,Location,Village,Lat,Long,Crop,Code,Type,Treatment,B1,B2,G1,G2,Total.Afl,Source
29,,,2017,Kaduna,,T/Wada,,10.5079,7.4084,Maize,ARAE0001CM,,,NA,NA,NA,NA,25.1,Ahalson Enterprise - Kaduna State
10,,,2016,Kaduna,T/Wada,T/Wada,T/Wada Faskar,10.5079,7.4084,Maize,ARAE0001CM,,,NA,NA,NA,NA,25.1,AgResults Control Samples
30,,,2017,Kaduna,,T/Wada,,10.5079,7.4084,Maize,ARAE0002CM,,,NA,NA,NA,NA,1,Ahalson Enterprise - Kaduna State
11,,,2016,Kaduna,T/Wada,T/Wada,T/Wada Faskar,10.5079,7.4084,Maize,ARAE0002CM,,,NA,NA,NA,NA,1,AgResults Control Samples
31,,,2017,Kaduna,,T/Wada,,10.5079,7.4084,Maize,ARAE0003CM,,,NA,NA,NA,NA,1,Ahalson Enterprise - Kaduna State
12,,,2016,Kaduna,T/Wada,T/Wada,T/Wada Gimbawa,10.5079,7.4084,Maize,ARAE0003CM,,,NA,NA,NA,NA,1,AgResults Control Samples
32,,,2017,Kaduna,,T/Wada,,10.5079,7.4084,Maize,ARAE0004CM,,,NA,NA,NA,NA,0.9,Ahalson Enterprise - Kaduna State
13,,,2016,Kaduna,T/Wada,T/Wada,T/Wada Gimbawa,10.5079,7.4084,Maize,ARAE0004CM,,,NA,NA,NA,NA,0.9,AgResults Control Samples
33,,,2017,Kaduna,,Doguwa,,10.8125,8.7041,Maize,ARAE0005CM,,,NA,NA,NA,NA,0.7,Ahalson Enterprise - Kaduna State
14,,,2016,Kaduna,Doguwa,Doguwa,Angwan Malamai,10.8125,8.7041,Maize,ARAE0005CM,,,NA,NA,NA,NA,0.7,AgResults Control Samples
34,,,2017,Kaduna,,Doguwa,,10.8125,8.7041,Maize,ARAE0006CM,,,NA,NA,NA,NA,1.3,Ahalson Enterprise - Kaduna State
15,,,2016,Kaduna,Doguwa,Doguwa,Angwan Malamai,10.8125,8.7041,Maize,ARAE0006CM,,,NA,NA,NA,NA,1.3,AgResults Control Samples
35,,,2017,Kaduna,,Doguwa,,10.8125,8.7041,Maize,ARAE0007CM,,,NA,NA,NA,NA,1,Ahalson Enterprise - Kaduna State
16,,,2016,Kaduna,Doguwa,Doguwa,Angwan Malamai,10.8125,8.7041,Maize,ARAE0007CM,,,NA,NA,NA,NA,1,AgResults Control Samples
36,,,2017,Kaduna,,Doguwa,,10.8125,8.7041,Maize,ARAE0008CM,,,NA,NA,NA,NA,1.5,Ahalson Enterprise - Kaduna State
17,,,2016,Kaduna,Doguwa,Doguwa,Angwan Malamai,10.8125,8.7041,Maize,ARAE0008CM,,,NA,NA,NA,NA,1.5,AgResults Control Samples
55,,,2017,Kano,,Rogo,,11.5501,7.8232,Maize,ARAS001C,,,NA,NA,NA,NA,1.1,Albarka Seeds - Kano State
91,,,2016,Kano,Rogo,Rogo,Angwan Paki,11.5501,7.8232,Maize,ARAS001C,,,NA,NA,NA,NA,1.1,AgResults Control Samples
56,,,2017,Kano,,Rogo,,11.5501,7.8232,Maize,ARAS002C,,,NA,NA,NA,NA,1.1,Albarka Seeds - Kano State
92,,,2016,Kano,Rogo,Rogo,Angwan Paki,11.5501,7.8232,Maize,ARAS002C,,,NA,NA,NA,NA,1.1,AgResults Control Samples
57,,,2017,Kano,,Rogo,,11.5501,7.8232,Maize,ARAS003C,,,NA,NA,NA,NA,1,Albarka Seeds - Kano State
93,,,2016,Kano,Rogo,Rogo,Angwan Paki,11.5501,7.8232,Maize,ARAS003C,,,NA,NA,NA,NA,1,AgResults Control Samples
58,,,2017,Kano,,Rogo,,11.5501,7.8232,Maize,ARAS004C,,,NA,NA,NA,NA,0.6,Albarka Seeds - Kano State
94,,,2016,Kano,Rogo,Rogo,Angwan Paki,11.5501,7.8232,Maize,ARAS004C,,,NA,NA,NA,NA,0.6,AgResults Control Samples
59,,,2017,Kano,,Rogo,,11.5501,7.8232,Maize,ARAS005C,,,NA,NA,NA,NA,1.2,Albarka Seeds - Kano State
95,,,2016,Kano,Rogo,Rogo,Bari,11.5501,7.8232,Maize,ARAS005C,,,NA,NA,NA,NA,1.2,AgResults Control Samples
60,,,2017,Kano,,Rogo,,11.5501,7.8232,Maize,ARAS006C,,,NA,NA,NA,NA,1.6,Albarka Seeds - Kano State
96,,,2016,Kano,Rogo,Rogo,Bari,11.5501,7.8232,Maize,ARAS006C,,,NA,NA,NA,NA,1.6,AgResults Control Samples
61,,,2017,Kano,,Rogo,,11.5501,7.8232,Maize,ARAS007C,,,NA,NA,NA,NA,1.4,Albarka Seeds - Kano State
