"Sample_ID","Year","AEZ","State","Lat","Long","B1","B2","G1","G2","afl_max","afl_mean","afl_median","n_samples","other_coordinates_in_grid","other_aflatoxins_in_grid","Location_Type","Source"
"NG645M",2012,"SGS","Niger",10.113,6.1527,4.87,3.22,0,0,17.35,12.9933333333333,13.54,3,"NG657M: 10.113, 6.153; NG668M: 10.113, 6.153","NG657M: B1=8.39,B2=8.96,G1=0,G2=0; NG668M: B1=1.72,B2=10.13,G1=1.69,G2=0","","NAFDAC Market Survey Sample 2012"
"BA1107M",2012,"MA","Bauchi",10.0596,9.0709,0,0,0,0,0,0,0,3,"BA1111M: 10.06, 9.071; BA1120M: 10.06, 9.071","BA1111M: B1=0,B2=0,G1=0,G2=0; BA1120M: B1=0,B2=0,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"GM1000M",2012,"NGS","Gombe",10.2791,11.1731,0,0,0,0,24.04,6.17833333333333,3.23,6,"GM1008M: 10.279, 11.173; GM1011M: 10.279, 11.173; GM983M: 10.279, 11.173; GM985M: 10.279, 11.173; GM988M: 10.279, 11.173","GM1008M: B1=16.75,B2=2.12,G1=1.5,G2=3.67; GM1011M: B1=0.8,B2=1.52,G1=0,G2=0; GM983M: B1=0,B2=0,G1=0,G2=0; GM985M: B1=5.25,B2=1.32,G1=0,G2=0; GM988M: B1=1.1,B2=3.04,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"GM984M",2012,"SS","Gombe",10.2794,11.4793,0,0,0,0,2.66,1.68666666666667,2.4,3,"GM993M: 10.279, 11.479; GM998M: 10.279, 11.479","GM993M: B1=1.54,B2=0.86,G1=0,G2=0; GM998M: B1=1.65,B2=1.01,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"KD832M",2012,"SGS","Kaduna",10.2697,7.1101,10.31,7.31,2.23,0.74,20.59,10.3033333333333,10.32,3,"KD843M: 10.27, 7.11; KD848M: 10.27, 7.11","KD843M: B1=1.95,B2=8.37,G1=0,G2=0; KD848M: B1=0,B2=0,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"NG633M",2012,"SGS","Niger",10.3116,4.9767,12.19,5.41,2.33,0,19.93,12.6766666666667,18.1,3,"NG663M: 10.312, 4.977; NG672M: 10.312, 4.977","NG663M: B1=2.24,B2=13.52,G1=1.34,G2=1; NG672M: B1=0,B2=0,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"KD812M",2012,"SGS","Kaduna",10.3243,7.6833,3.41,1.47,0,0,11.62,5.5,4.88,3,"KD838M: 10.324, 7.683; KD846M: 10.324, 7.683","KD838M: B1=0,B2=0,G1=0,G2=0; KD846M: B1=4.91,B2=2.45,G1=2.89,G2=1.37","","NAFDAC Market Survey Sample 2012"
"BA1114M",2012,"NGS","Bauchi",10.306,9.8404,0,0,0,0,7.06,4.51,6.47,3,"BA1125M: 10.306, 9.84; BA1129M: 10.306, 9.84","BA1125M: B1=3.66,B2=2.81,G1=0,G2=0; BA1129M: B1=2.24,B2=1.89,G1=2.93,G2=0","","NAFDAC Market Survey Sample 2012"
"GM1005M",2012,"SS","Gombe",10.4019,11.1391,0.71,1.31,7.93,0.59,10.54,4.75333333333333,3.72,3,"GM1007M: 10.402, 11.139; GM992M: 10.402, 11.139","GM1007M: B1=0,B2=0,G1=0,G2=0; GM992M: B1=2.33,B2=1.39,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"NG632M",2012,"SGS","Niger",10.4071,5.4699,3.53,5.6,0,0,17.88,11.13,9.13,3,"NG662M: 10.407, 5.47; NG666M: 10.407, 5.47","NG662M: B1=2.03,B2=2.59,G1=1.76,G2=0; NG666M: B1=2.05,B2=5.21,G1=1.75,G2=8.87","","NAFDAC Market Survey Sample 2012"
"KD813M",2012,"NGS","Kaduna",10.5036,7.4337,0.93,1.57,0,0,35.3,12.8166666666667,6.785,6,"KD814M: 10.504, 7.434; KD817M: 10.463, 7.414; KD820M: 10.504, 7.434; KD822M: 10.463, 7.414; KD836M: 10.463, 7.414","KD814M: B1=15.55,B2=2.26,G1=14.28,G2=3.21; KD817M: B1=2.25,B2=0.63,G1=2.28,G2=0.59; KD820M: B1=4.03,B2=1.64,G1=2.15,G2=0; KD822M: B1=4.97,B2=2.13,G1=17.33,G2=1.1; KD836M: B1=0,B2=0,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"KD850M",2012,"NGS","Kaduna",10.5432,7.449,8.37,1.94,4.63,0,14.94,7.47,7.47,2,"KD851M: 10.543, 7.449","KD851M: B1=0,B2=0,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"BR1202M",2012,"SS","Borno",10.6117,12.1919,1.07,1.79,0.92,0,3.78,1.26,0,3,"BR1236M: 10.612, 12.192; BR1240M: 10.612, 12.192","BR1236M: B1=0,B2=0,G1=0,G2=0; BR1240M: B1=0,B2=0,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"BR1199M",2012,"SS","Borno",10.6563,13.1279,0,0,0,0,0,0,0,3,"BR1211M: 10.656, 13.128; BR1238M: 10.656, 13.128","BR1211M: B1=0,B2=0,G1=0,G2=0; BR1238M: B1=0,B2=0,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"GM1002M",2012,"SS","Gombe",10.7252,11.3885,4.7,0,2.16,4.72,13.59,9.90666666666667,11.58,3,"GM1004M: 10.725, 11.389; GM982M: 10.725, 11.389","GM1004M: B1=0.76,B2=3.3,G1=9.53,G2=0; GM982M: B1=2.34,B2=2.21,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"BA1122M",2012,"SS","Bauchi",10.729,9.9912,0,0,0,0,21.13,7.04333333333333,0,3,"BA1128M: 10.729, 9.991; BA1151M: 10.729, 9.991","BA1128M: B1=0,B2=0,G1=0,G2=0; BA1151M: B1=3.14,B2=4.25,G1=11.49,G2=2.25","","NAFDAC Market Survey Sample 2012"
"GM1006M",2012,"SS","Gombe",10.823,10.7733,1.46,1.98,0,0,17.63,7.02333333333333,3.44,3,"GM987M: 10.823, 10.773; GM989M: 10.823, 10.773","GM987M: B1=1.3,B2=3.71,G1=11.12,G2=1.5; GM989M: B1=0,B2=0,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"KD842M",2012,"NGS","Kaduna",10.8,7.72,0,0,0,0,0,0,0,1,NA,NA,"","NAFDAC Market Survey Sample 2012"
"KN152",2012,"NGS","Kano",10.8125,8.7041,10.35,4.47,3.27,3.32,23.61,10.1966666666667,6.29,9,"KN482: 10.812, 8.704; KN600: 10.812, 8.704; KN601: 10.812, 8.704; KN602: 10.812, 8.704; KN603: 10.812, 8.704; KN609: 10.812, 8.704; KN611: 10.812, 8.704; KN612: 10.812, 8.704","KN482: B1=4.41,B2=1.88,G1=0,G2=0; KN600: B1=0,B2=0,G1=0,G2=0; KN601: B1=11.77,B2=10.83,G1=0,G2=1; KN602: B1=6.2,B2=4.6,G1=6.65,G2=0.67; KN603: B1=2.08,B2=4.23,G1=3.69,G2=0.72; KN609: B1=0.98,B2=2.3,G1=0,G2=0; KN611: B1=1.66,B2=3.46,G1=0,G2=0; KN612: B1=0.87,B2=2.35,G1=0,G2=0","","Large Scale Testing 2012"
"BR1197M",2012,"SS","Borno",10.8692,12.8471,0,0,0,0,14.85,8.24333333333333,9.88,3,"BR1212M: 10.869, 12.847; BR1224M: 10.869, 12.847","BR1212M: B1=1.02,B2=6.98,G1=6.03,G2=0.82; BR1224M: B1=2.12,B2=7.76,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"KB906M",2012,"NGS","Niger",10.9925,4.5212,11.03,12.61,3.47,1.27,28.38,21.6666666666667,22.94,3,"KB926M: 10.992, 4.521; KB929M: 10.992, 4.521","KB926M: B1=4.89,B2=15.26,G1=2.79,G2=0; KB929M: B1=9.95,B2=3.73,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"KD806",2012,"NGS","Kaduna",10.9841,8.0602,4.49,6.42,4.33,0.64,15.88,15.88,15.88,1,NA,NA,"","Large Scale Testing 2012"
"KD800",2012,"NGS","Kaduna",11,8.24,1.89,2.87,0,0,15.89,10.325,10.325,2,"KD800: 11.28, 7.418; KD805: 11, 8.24","KD800: B1=2.99,B2=2.02,G1=0,G2=0; KD805: B1=3.61,B2=4.94,G1=6.43,G2=0.91","","Large Scale Testing 2012"
"GM1003M",2012,"SS","Gombe",11.0968,11.3346,0,0,0,0,0,0,0,3,"GM1010M: 11.097, 11.335; GM995M: 11.097, 11.335","GM1010M: B1=0,B2=0,G1=0,G2=0; GM995M: B1=0,B2=0,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"BR1207M",2012,"SS","Borno",11.0897,13.6884,23.94,2.71,2.14,1.73,30.52,10.1733333333333,0,3,"BR1230M: 11.09, 13.688; BR1232M: 11.09, 13.688","BR1230M: B1=0,B2=0,G1=0,G2=0; BR1232M: B1=0,B2=0,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
"KB899M",2012,"NGS","Kebbi",11.0655,5.5965,23.44,3.93,8.71,0.66,36.74,30.6266666666667,35.37,3,"KB921M: 11.066, 5.596; KB934M: 11.066, 5.596","KB921M: B1=4.52,B2=3.3,G1=8.98,G2=2.97; KB934M: B1=16.81,B2=2.23,G1=15.09,G2=1.24","","NAFDAC Market Survey Sample 2012"
"KD001",2012,"NGS","Kaduna",11.0549,7.1965,2.13,4.53,1.63,0.48,76.94,16.430625,6.76,16,"KD002: 11.055, 7.197; KD004: 11.055, 7.197; KD005: 11.055, 7.197; KD006: 11.055, 7.197; KD007: 11.055, 7.197; KD009: 11.055, 7.197; KD010: 11.055, 7.197; KD011: 11.055, 7.197; KD014: 11.055, 7.197; KD015: 11.055, 7.197; KD020: 11.055, 7.197; KD021: 11.055, 7.197; KD023: 11.055, 7.197; KD026: 11.055, 7.197; KD029: 11.055, 7.197","KD002: B1=3.32,B2=1.55,G1=0,G2=0; KD004: B1=0.67,B2=3.47,G1=1.62,G2=0.51; KD005: B1=52.7,B2=11.29,G1=2.57,G2=0; KD006: B1=3.53,B2=1.85,G1=0,G2=0; KD007: B1=18.8,B2=3.9,G1=1.37,G2=1.09; KD009: B1=3.77,B2=3.45,G1=0,G2=0; KD010: B1=64.13,B2=12.81,G1=0,G2=0; KD011: B1=0.83,B2=1.36,G1=0,G2=0; KD014: B1=0.71,B2=2.62,G1=0,G2=0; KD015: B1=7.08,B2=9.68,G1=2.22,G2=0.6; KD020: B1=2.44,B2=3.84,G1=0,G2=0; KD021: B1=5.64,B2=3.58,G1=0,G2=0; KD023: B1=0,B2=0,G1=0,G2=0; KD026: B1=8.19,B2=5.78,G1=2.58,G2=0; KD029: B1=1.28,B2=3.31,G1=0,G2=0","","Large Scale Testing 2012"
"BA1112M",2012,"SS","Bauchi",11.0716,9.5729,0,0,0,0,12.3,5.94666666666667,5.54,3,"BA1139M: 11.072, 9.573; BA1141M: 11.072, 9.573","BA1139M: B1=4.2,B2=1.34,G1=0,G2=0; BA1141M: B1=3.32,B2=1.05,G1=5.94,G2=1.99","","NAFDAC Market Survey Sample 2012"
"BR1209M",2012,"SS","Borno",11.1561,12.7566,0,0,0,0,45.71,15.2366666666667,0,3,"BR1216M: 11.156, 12.757; BR1241M: 11.156, 12.757","BR1216M: B1=1.8,B2=2.12,G1=32.04,G2=9.75; BR1241M: B1=0,B2=0,G1=0,G2=0","","NAFDAC Market Survey Sample 2012"
