"SN","Date","AEZ1","Year","State","LGA","Location","Village","Lat","Long","Crop","Code","Type","Treatment","B1","B2","G1","G2","Total.Afl","Source"
9,"","",2017,"Oyo","","Ikire","",7.37,4.1872,"Maize","ARAI0479C","","",NA,NA,NA,NA,133.9,"Agbelere Integrated Farms - Oyo & Osun States"
9,"","",2016,"Osun","Ayedire","Ikire","Olupona",7.5691,4.2538,"Maize","ARAI0479C","","",NA,NA,NA,NA,133.9,"AgResults Control Samples"
88,"","",2017,"Ogun","","Ijebuigbo","",6.9792,3.998,"Maize","ARAL0001C","","",NA,NA,NA,NA,10.7,"Agrisupply - Ogun State"
65,"","",2016,"Ogun","Ijebu North","Ijebuigbo","Idekan",7.0333,3.947,"Maize","ARAL0001C","","",NA,NA,NA,NA,10.7,"AgResults Control Samples"
89,"","",2017,"Ogun","","Ijebuigbo","",6.9792,3.998,"Maize","ARAL0002C","","",NA,NA,NA,NA,1,"Agrisupply - Ogun State"
66,"","",2016,"Ogun","Ijebu North","Ijebuigbo","Idekan",7.0333,3.947,"Maize","ARAL0002C","","",NA,NA,NA,NA,1,"AgResults Control Samples"
90,"","",2017,"Ogun","","Ijebuigbo","",6.9792,3.998,"Maize","ARAL0003C","","",NA,NA,NA,NA,2.3,"Agrisupply - Ogun State"
67,"","",2016,"Ogun","Ijebu North","Ijebuigbo","Idekan",7.0333,3.947,"Maize","ARAL0003C","","",NA,NA,NA,NA,2.3,"AgResults Control Samples"
91,"","",2017,"Ogun","","Ijebuigbo","",6.9792,3.998,"Maize","ARAL0004C","","",NA,NA,NA,NA,0.7,"Agrisupply - Ogun State"
68,"","",2016,"Ogun","Ijebu North","Ijebuigbo","Idekan",7.0333,3.947,"Maize","ARAL0004C","","",NA,NA,NA,NA,0.7,"AgResults Control Samples"
92,"","",2017,"Ogun","","Idekan","",6.9098,3.2584,"Maize","ARAL0005C","","",NA,NA,NA,NA,1.1,"Agrisupply - Ogun State"
69,"","",2016,"Ogun","Ijebu North","Idekan","Ijebuigbo",7.0333,3.947,"Maize","ARAL0005C","","",NA,NA,NA,NA,1.1,"AgResults Control Samples"
93,"","",2017,"Ogun","","Idekan","",6.9098,3.2584,"Maize","ARAL0006C","","",NA,NA,NA,NA,10.3,"Agrisupply - Ogun State"
70,"","",2016,"Ogun","Ijebu North","Idekan","Ijebuigbo",7.0333,3.947,"Maize","ARAL0006C","","",NA,NA,NA,NA,10.3,"AgResults Control Samples"
94,"","",2017,"Ogun","","Idekan","",6.9098,3.2584,"Maize","ARAL0007C","","",NA,NA,NA,NA,22.7,"Agrisupply - Ogun State"
71,"","",2016,"Ogun","Ijebu North","Idekan","Ijebuigbo",7.0333,3.947,"Maize","ARAL0007C","","",NA,NA,NA,NA,22.7,"AgResults Control Samples"
95,"","",2017,"Ogun","","Idekan","",6.9098,3.2584,"Maize","ARAL0008C","","",NA,NA,NA,NA,1.1,"Agrisupply - Ogun State"
72,"","",2016,"Ogun","Ijebu North","Idekan","Ijebuigbo",7.0333,3.947,"Maize","ARAL0008C","","",NA,NA,NA,NA,1.1,"AgResults Control Samples"
80,"","",2017,"Enugu","","Adani","",6.734,7.0095,"Maize","AREN001C","","",NA,NA,NA,NA,0.2,"CADP Enugu - Enugu State"
73,"","",2016,"Enugu","Uzo-Uwani","Adani","Adani",6.7401,7.1359,"Maize","AREN001C","","",NA,NA,NA,NA,0.2,"AgResults Control Samples"
81,"","",2017,"Enugu","","Adani","",6.734,7.0095,"Maize","AREN002C","","",NA,NA,NA,NA,1.3,"CADP Enugu - Enugu State"
74,"","",2016,"Enugu","Uzo-Uwani","Adani","Adani",6.7401,7.1359,"Maize","AREN002C","","",NA,NA,NA,NA,1.3,"AgResults Control Samples"
82,"","",2017,"Enugu","","Adani","",6.734,7.0095,"Maize","AREN003C","","",NA,NA,NA,NA,51.6,"CADP Enugu - Enugu State"
