SN,Date ,AEZ1,Year,State,LGA,Location,Village,Lat,Long,Crop,Code,Type,Treatment,B1,B2,G1,G2,Total-Afl,Source
644,23-Feb-12,,2012,Anambra,Anambra East,,,6.262777778,6.813888889,Maize,AN1287M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
645,23-Feb-12,,2012,Anambra,Awka South,,,6.2116,7.0714,Maize,AN1288M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
646,23-Feb-12,,2012,Anambra,Anambra East,,,6.262777778,6.813888889,Maize,AN1289M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
647,23-Feb-12,,2012,Anambra,Ihiala,,,5.8516,6.8512,Maize,AN1290M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
648,23-Feb-12,,2012,Anambra,Awka South,,,6.2116,7.0714,Maize,AN1291M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
649,23-Feb-12,,2012,Anambra,Nnewi South,,,6.2116,7.0714,Maize,AN1292M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
650,23-Feb-12,,2012,Anambra,Nnewi North,,,6.0137,6.9102,Maize,AN1293M,,,5.83,1.11,0,0,6.94,NAFDAC Market Survey Sample 2012
651,23-Feb-12,,2012,Anambra,Ogbaru,,,5.9213,6.728,Maize,AN1294M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
652,23-Feb-12,,2012,Anambra,Awka North,,,6.2636,7.1252,Maize,AN1295M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
653,23-Feb-12,,2012,Anambra,Awka North,,,6.2636,7.1252,Maize,AN1296M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
654,23-Feb-12,,2012,Anambra,Awka South,,,6.2116,7.0714,Maize,AN1297M,,,2.04,2.95,0,0,4.99,NAFDAC Market Survey Sample 2012
655,23-Feb-12,,2012,Anambra,Ogbaru,,,6.2636,7.1252,Maize,AN1298M,,,2.69,1.17,2.22,0,6.08,NAFDAC Market Survey Sample 2012
656,23-Feb-12,,2012,Anambra,Idemili North,,,6.1237,6.9478,Maize,AN1299M,,,12.95,0,18.87,1.19,33.01,NAFDAC Market Survey Sample 2012
657,23-Feb-12,,2012,Anambra,Aniocha,,,6.0964,7.0176,Maize,AN1300M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
658,23-Feb-12,,2012,Anambra,Awka North,,,6.2636,7.1252,Maize,AN1301M,,,1.61,2,0,0,3.61,NAFDAC Market Survey Sample 2012
659,23-Feb-12,,2012,Anambra,Nnewi South,,,6.2116,7.0714,Maize,AN1302M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
660,23-Feb-12,,2012,Anambra,Nnewi North,,,6.2636,7.1252,Maize,AN1303M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
661,23-Feb-12,,2012,Anambra,Aniocha,,,6.0964,7.0176,Maize,AN1304M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
662,23-Feb-12,,2012,Anambra,Ihiala,,,5.8516,6.8512,Maize,AN1305M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
663,23-Feb-12,,2012,Anambra,Anambra East,,,6.262777778,6.813888889,Maize,AN1306M,,,1.88,2.16,0,0,4.04,NAFDAC Market Survey Sample 2012
664,23-Feb-12,,2012,Anambra,Aguata,,,6.0086,7.1009,Maize,AN1307M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
665,23-Feb-12,,2012,Anambra,Idemili North,,,6.1237,6.9478,Maize,AN1308M,,,3.7,2.2,0,0,5.9,NAFDAC Market Survey Sample 2012
666,23-Feb-12,,2012,Anambra,Nnewi South,,,6.2116,7.0714,Maize,AN1309M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
667,23-Feb-12,,2012,Anambra,Aguata,,,6.0086,7.1009,Maize,AN1310M,,,1.87,1.15,0,0,3.02,NAFDAC Market Survey Sample 2012
668,23-Feb-12,,2012,Anambra,Aguata,,,6.0086,7.1009,Maize,AN1311M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
669,23-Feb-12,,2012,Anambra,Idemili North,,,6.1237,6.9478,Maize,AN1312M,,,1.52,0,20.78,2.74,25.04,NAFDAC Market Survey Sample 2012
670,23-Feb-12,,2012,Anambra,Ihiala,,,5.8516,6.8512,Maize,AN1313M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
671,23-Feb-12,,2012,Anambra,Nnewi North,,,6.1237,6.9478,Maize,AN1314M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
672,23-Feb-12,,2012,Anambra,Ogbaru,,,6.2636,7.1252,Maize,AN1315M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
673,23-Feb-12,,2012,Anambra,Aniocha,,,6.0964,7.0176,Maize,AN1316M,,,9.02,7.14,1.82,0,17.98,NAFDAC Market Survey Sample 2012
674,24-Feb-12,,2012,Anambra,Onitsha North,,,6.1624,6.8029,Maize,AN1347M,,,4.97,3.56,2.76,0.98,12.27,NAFDAC Market Survey Sample 2012
675,24-Feb-12,,2012,Anambra,Dunukofia,,,6.201,6.9786,Maize,AN1348M,,,2.81,3.26,0,0,6.07,NAFDAC Market Survey Sample 2012
676,24-Feb-12,,2012,Anambra,Oyi,,,6.2246,6.8887,Maize,AN1349M,,,29.85,7.23,0,0,37.08,NAFDAC Market Survey Sample 2012
677,24-Feb-12,,2012,Anambra,Onitsha South,,,6.1364,6.7762,Maize,AN1350M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
678,24-Feb-12,,2012,Anambra,Onitsha North,,,6.1624,6.8029,Maize,AN1351M,,,5.41,0,0,0,5.41,NAFDAC Market Survey Sample 2012
679,24-Feb-12,,2012,Anambra,Dunukofia,,,6.201,6.9786,Maize,AN1352M,,,7.57,3.57,0,0,11.14,NAFDAC Market Survey Sample 2012
680,24-Feb-12,,2012,Anambra,Onitsha South,,,6.1364,6.7762,Maize,AN1353M,,,16.59,4.5,0,0,21.09,NAFDAC Market Survey Sample 2012
681,24-Feb-12,,2012,Anambra,Ekwusigo,,,5.9566,6.8512,Maize,AN1354M,,,20.68,1.39,5.21,1.01,28.29,NAFDAC Market Survey Sample 2012
682,24-Feb-12,,2012,Anambra,Dunukofia,,,6.201,6.9786,Maize,AN1355M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
683,24-Feb-12,,2012,Anambra,Ekwusigo,,,5.9566,6.8512,Maize,AN1356M,,,3.97,4.6,4.52,4.08,17.17,NAFDAC Market Survey Sample 2012
684,24-Feb-12,,2012,Anambra,Oyi,,,6.2246,6.8887,Maize,AN1357M,,,3.61,0.81,0,0,4.42,NAFDAC Market Survey Sample 2012
685,24-Feb-12,,2012,Anambra,Onitsha North,,,6.1624,6.8029,Maize,AN1358M,,,10.39,2.97,0,0,13.36,NAFDAC Market Survey Sample 2012
686,24-Feb-12,,2012,Anambra,Onitsha South,,,6.1364,6.7762,Maize,AN1359M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
687,24-Feb-12,,2012,Anambra,Oyi,,,6.2246,6.8887,Maize,AN1360M,,,1.99,1.94,0,0,3.93,NAFDAC Market Survey Sample 2012
688,24-Feb-12,,2012,Anambra,Ekwusigo,,,5.9566,6.8512,Maize,AN1361M,,,2.32,3.43,1.78,0,7.53,NAFDAC Market Survey Sample 2012
